actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm1006006,5.1333333651224775,92.33333333333331,3,1.4468357748230796,0,22,4.400000095367432,0,0
nm1621599,5.566666603088379,407.3333333333333,3,0.6350855163502377,0,16,6.300000190734863,0,0
nm0005431,5.36363638531078,13627.363636363636,12,1.128957694226366,0,24,2.799999952316284,0,0
nm1981245,4.466666618982951,793.6666666666666,3,1.4977760910404585,0,16,4.900000095367432,0,0
nm0636942,5.806250035762787,38496.875,16,0.9996457595434616,0,26,3.900000095367432,0,0
nm0644886,6.918181809512052,936.5454545454544,11,0.5455606205418869,1,27,8.0,0,0
nm1345551,5.415789453606856,549.0526315789474,21,1.3643325744874346,0,35,4.375,0,0
nm1169391,5.975000143051148,372.75,4,1.087428104464921,0,19,6.900000095367432,0,0
nm0274548,5.842857122421265,536.2857142857143,14,0.815913106955656,0,41,7.099999904632568,0,0
nm2457325,6.412500023841858,890.875,9,0.8675705209920235,1,18,6.412500023841858,0,1
nm0069580,5.985714367457798,3676.0,9,0.7559288574066054,0,17,6.300000071525574,0,0
nm0455663,6.066666709052192,4246.888888888889,10,1.1467345578773136,0,27,4.099999904632568,0,0
nm0230697,5.442857146263123,1039.142857142857,14,1.066781107924516,0,36,6.699999809265137,0,0
nm2079627,6.471428598676409,48353.57142857143,9,1.2486181179313374,1,20,6.100000063578288,0,0
nm1617236,5.360000038146973,733.8,6,1.1928957242167924,0,32,5.360000038146973,0,1
nm1273975,4.839999961853027,756.6,6,1.1193747888817396,0,15,4.839999961853027,0,1
nm2138267,7.75,27.0,7,0.2121321692258795,0,15,7.75,0,1
nm0837658,5.945454619147561,95.9090909090909,15,1.2556780014890243,0,47,5.945454619147561,0,1
nm5920249,7.5,1074.0,3,0.9384930852792726,0,6,7.5,1,1
nm0163984,4.799999964237213,1315.4,25,1.4138413961270917,1,47,3.400000095367432,0,0
nm2859904,4.880000019073487,338.0,5,1.8753665382699372,0,10,7.199999809265137,0,0
nm5891788,5.300000111262004,1950.0,4,1.819340593595174,0,6,6.400000095367432,0,0
nm3806097,5.988888899485271,12693.111111111111,9,1.469221359983207,1,13,7.266666730244954,0,0
nm4806449,6.600000095367432,102563.4,13,0.7382411594707798,0,10,6.866666793823242,0,0
nm1491308,6.799999952316284,13.0,3,0.2828427799095766,0,7,6.799999952316284,0,1
nm5104739,5.012500047683716,258.25,10,0.8576336998160922,0,11,5.0,0,0
nm3302977,6.449999968210856,364.0,8,1.1432409302172235,0,13,6.0,0,0
nm1585843,5.714285714285714,1376.142857142857,8,0.5928141308040822,0,7,5.8666666348775225,0,0
nm8243162,5.233333269755046,436.3333333333333,3,1.001665292782323,0,4,5.199999809265137,0,0
nm2985311,5.300000071525574,113.25,4,1.4787383169409776,0,13,5.900000095367432,0,0
nm0658810,7.3047619093032115,258.3333333333333,37,1.2290143286368551,5,39,7.900000095367432,0,0
nm9424794,6.6166666348775225,99.33333333333331,7,1.7588822558683574,1,8,6.725000023841858,0,0
nm3729068,6.480000114440918,3270.6,5,1.5006665586208705,1,4,6.480000114440918,0,0
nm0700702,3.925000011920929,574.0,4,2.71830215901856,1,3,5.25,0,0
nm7468777,6.900000095367432,86.0,3,0.9384930852792726,0,5,6.900000095367432,1,1
nm8130397,5.641666690508525,796.1666666666666,13,1.2302685532566644,0,10,6.360000038146973,0,0
nm6125219,4.9666666984558105,648.3333333333334,3,1.250333355004534,0,5,4.099999904632568,0,0
nm2927566,5.183333317438762,688.1666666666666,7,1.4005950378454337,0,13,6.849999904632568,0,0
nm1274921,5.249999940395355,166.75,4,2.139314488498637,0,15,3.399999976158142,0,0
nm1296239,5.34285705430167,67.28571428571429,8,1.7096365772927262,0,21,4.099999904632568,0,0
nm9909800,6.650000095367432,2459.6666666666665,6,0.6920982396286967,0,5,6.475000143051148,0,0
nm0824486,4.612500011920929,541.875,8,1.391235325764919,0,23,3.900000095367432,0,0
nm9620354,4.8999998569488525,165.0,3,1.1313707824635184,0,3,4.099999904632568,0,0
nm0257988,5.875000014901161,719.875,18,1.0541979731307585,0,34,6.5,0,0
nm4418161,6.25,74.0,3,2.4748737341529163,1,10,4.5,0,0
nm4555289,4.599999904632568,6231.0,3,0.1414212213673942,0,2,4.599999904632568,0,1
nm5584488,3.75,216.5,4,0.8736895075401435,0,7,3.200000047683716,0,0
nm7846445,6.342857122421265,186.5,14,0.6958274029603403,0,8,6.150000095367432,0,0
nm7306001,5.49999984105428,812.3333333333334,3,0.6082762216732053,0,3,5.6499998569488525,0,0
nm1967874,6.712500035762787,28.125,22,1.0749584565420736,1,25,6.100000023841858,0,0
nm0710605,6.733333428700765,37221.0,3,0.5131601811133959,0,3,6.733333428700765,0,0
nm11101448,5.691666682561238,722.4166666666666,24,0.7818131966032801,0,9,5.300000190734863,0,0
nm2623523,5.975000023841858,77.25,6,2.083866556085168,0,13,5.150000095367432,0,0
nm8543836,7.600000023841858,27.5,5,1.009950506426592,1,7,9.0,0,0
