director_id,director_experience,director_quality,director_total_votes
nm1571522,2,3.950000047683716,23
nm4098234,1,5.800000190734863,610
nm1932723,1,7.599999904632568,23
nm4353686,1,6.400000095367432,172
nm5029050,1,4.800000190734863,82
nm0753912,2,5.700000047683716,1245
nm3614028,1,6.800000190734863,407
nm0661751,1,5.900000095367432,54788
nm0762761,1,5.199999809265137,12
nm5834719,1,5.400000095367432,1056
nm2417076,1,5.800000190734863,616
nm0222150,1,1.7999999523162842,180610
nm6192381,1,6.5,24
nm6613502,1,5.300000190734863,1142
nm0762805,1,5.900000095367432,17
nm0064961,3,8.333333333333334,176
nm5342067,1,4.800000190734863,726
nm0508025,2,4.700000047683716,10865
nm0408120,2,6.450000047683716,4407
nm0867784,4,5.924999952316284,17269
nm4890129,1,7.400000095367432,81
nm5331478,2,5.6499998569488525,320
nm2625253,2,6.599999904632568,316
nm1443502,1,6.800000190734863,298356
nm8515892,1,7.099999904632568,36
nm8937436,2,8.5,247
nm3110133,1,7.599999904632568,5
nm10572104,1,4.0,145
nm6662527,1,5.0,4058
nm1339604,2,5.75,1444
nm7334521,2,6.450000047683716,115
nm9721958,1,6.599999904632568,3513
nm11017628,1,5.0,35
nm3207917,1,6.800000190734863,676
nm0310747,2,6.3999998569488525,5098
nm4002493,2,5.900000095367432,1848
nm1232567,1,6.699999809265137,345
nm2785946,2,5.6499998569488525,65
nm0841392,3,5.433333237965901,384
nm9047119,1,8.199999809265137,46
nm2876242,1,6.099999904632568,1985
nm4677186,2,7.049999952316284,1311
nm0812553,1,6.599999904632568,121
nm3366284,1,4.0,467
nm7744954,1,5.400000095367432,16649
nm7555393,1,8.199999809265137,8
nm0003620,3,5.233333269755046,24584
nm4417282,2,5.799999952316284,153
nm7636830,1,8.199999809265137,14
nm6235677,1,6.900000095367432,10763
nm1024677,2,6.799999952316284,361812
nm2358850,3,7.200000127156575,720
nm5862679,1,6.400000095367432,30
nm2753462,2,3.450000047683716,1303
nm1462823,1,6.800000190734863,24
nm6414688,1,8.899999618530273,8
nm1905770,3,6.266666571299235,2840
nm1883310,1,3.0999999046325684,262
nm5008549,1,4.5,1202
nm1160206,2,6.8999998569488525,3944
nm4217490,1,7.800000190734863,21
nm0184673,3,4.8666666348775225,67
nm0041334,1,6.800000190734863,47
nm11107112,1,8.199999809265137,45
nm11108345,3,6.5333333015441895,8369
nm6141295,1,5.400000095367432,19
nm0648473,1,7.0,8730
nm3448224,2,4.2500001192092896,154
nm9101050,1,8.100000381469727,322
nm1475594,1,6.5,49433
nm0379334,1,5.800000190734863,5
nm4274789,1,3.5,1899
nm11125311,1,7.400000095367432,428
nm7697093,1,4.0,66
nm0336486,1,6.199999809265137,71
nm0881372,4,5.425000071525574,1778
nm4247084,1,4.900000095367432,22
nm1263747,2,6.099999904632568,75
nm10787814,1,6.099999904632568,16
nm4146937,1,5.400000095367432,60
nm6656358,1,3.5999999046325684,414
nm9758574,2,3.5,464
nm6579465,1,6.900000095367432,1118
nm1543866,1,6.0,101
nm3183685,2,5.549999952316284,701
nm1425585,6,7.866666714350383,7934
nm7981683,1,6.099999904632568,14
nm4823046,1,4.5,20
nm11201615,1,7.900000095367432,98
nm9232888,2,4.599999904632568,109
nm5156926,2,6.25,364
nm0103683,2,8.300000190734863,103
nm4609648,2,3.75,1106
nm0702477,3,5.666666666666667,183
nm1145183,1,6.400000095367432,108
nm10306330,1,4.699999809265137,15529
nm7533307,1,8.5,24
nm10327492,1,5.300000190734863,307
nm3341232,1,2.799999952316284,772
nm1335623,6,7.25,172
nm1009787,1,6.5,33
nm3268589,1,6.900000095367432,2019
nm5435476,1,4.400000095367432,195
nm7755223,1,7.099999904632568,189
nm3226377,2,6.799999952316284,3047
nm2003870,2,7.349999904632568,709
nm5862650,4,8.475000023841858,288
nm7149281,1,6.400000095367432,788
nm11188175,1,7.300000190734863,3127
nm4240899,1,7.400000095367432,30
nm0589168,1,4.5,3004
nm1139742,1,5.800000190734863,93
nm7824784,1,6.400000095367432,53
nm4541290,1,6.400000095367432,14
nm5397513,1,6.599999904632568,6
nm11203522,2,3.950000047683716,2612
nm1941926,1,6.699999809265137,3594
nm10181673,1,9.300000190734863,30
nm5171816,1,7.900000095367432,21
nm2341611,2,7.999999761581421,92020
nm8590084,1,4.599999904632568,414
nm7332815,2,4.849999904632568,203
nm5749790,3,7.6333333651224775,50
nm11350242,1,4.0,362
nm3962471,3,5.166666666666667,421
nm2281837,1,2.5,31
nm11225822,1,4.199999809265137,97
nm9103190,3,4.53333322207133,1105
nm3782670,1,7.599999904632568,46
nm0200752,1,3.5,408
nm1375169,1,4.300000190734863,1011
nm11230725,1,8.399999618530273,32
